Series Name,Series Code,Country Name,Country Code,2019 [YR2019]
"Population, total",SP.POP.TOTL,China,CHN,1397715000
"Population, total",SP.POP.TOTL,United States,USA,328239523
"Population, total",SP.POP.TOTL,Finland,FIN,5520314
"Population, total",SP.POP.TOTL,Sweden,SWE,10285453
"Population, total",SP.POP.TOTL,Germany,DEU,83132799
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 12/14/2020,,,,
