"TIME","GEO","PRODUCT","CONSOM","UNIT","TAX","CURRENCY","Value","Flag and Footnotes"
"2011S1","Germany (until 1990 former territory of the FRG)","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","Excluding VAT and other recoverable taxes and levies","National currency","0.2124",""
"2011S2","Germany (until 1990 former territory of the FRG)","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","Excluding VAT and other recoverable taxes and levies","Euro","0.2127",""
"2011S2","Germany (until 1990 former territory of the FRG)","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","Excluding VAT and other recoverable taxes and levies","Purchasing Power Standard","0.2047",""
"2011S2","Germany (until 1990 former territory of the FRG)","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","Excluding VAT and other recoverable taxes and levies","National currency","0.2127",""
"2012S1","Germany (until 1990 former territory of the FRG)","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","Excluding VAT and other recoverable taxes and levies","Euro","0.2181",""
"2012S1","Germany (until 1990 former territory of the FRG)","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","Excluding VAT and other recoverable taxes and levies","Purchasing Power Standard","0.2111",""
"2012S1","Germany (until 1990 former territory of the FRG)","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","Excluding VAT and other recoverable taxes and levies","National currency","0.2181",""
"2012S2","Germany (until 1990 former territory of the FRG)","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","Excluding VAT and other recoverable taxes and levies","Euro","0.2249",""
"2012S2","Germany (until 1990 former territory of the FRG)","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","Excluding VAT and other recoverable taxes and levies","Purchasing Power Standard","0.2176",""
"2012S2","Germany (until 1990 former territory of the FRG)","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","Excluding VAT and other recoverable taxes and levies","National currency","0.2249",""
"2013S1","Germany (until 1990 former territory of the FRG)","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","Excluding VAT and other recoverable taxes and levies","Euro","0.2453",""
"2013S1","Germany (until 1990 former territory of the FRG)","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","Excluding VAT and other recoverable taxes and levies","Purchasing Power Standard","0.2334",""
"2013S1","Germany (until 1990 former territory of the FRG)","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","Excluding VAT and other recoverable taxes and levies","National currency","0.2453",""
"2013S2","Germany (until 1990 former territory of the FRG)","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","Excluding VAT and other recoverable taxes and levies","Euro","0.2455",""
"2013S2","Germany (until 1990 former territory of the FRG)","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","Excluding VAT and other recoverable taxes and levies","Purchasing Power Standard","0.2336",""
"2013S2","Germany (until 1990 former territory of the FRG)","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","Excluding VAT and other recoverable taxes and levies","National currency","0.2455",""
"2014S1","Germany (until 1990 former territory of the FRG)","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","Excluding VAT and other recoverable taxes and levies","Euro","0.2505",""
"2014S1","Germany (until 1990 former territory of the FRG)","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","Excluding VAT and other recoverable taxes and levies","Purchasing Power Standard","0.2404",""
"2014S1","Germany (until 1990 former territory of the FRG)","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","Excluding VAT and other recoverable taxes and levies","National currency","0.2505",""
"2014S2","Germany (until 1990 former territory of the FRG)","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","Excluding VAT and other recoverable taxes and levies","Euro","0.2499",""
"2014S2","Germany (until 1990 former territory of the FRG)","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","Excluding VAT and other recoverable taxes and levies","Purchasing Power Standard","0.2398",""
"2014S2","Germany (until 1990 former territory of the FRG)","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","Excluding VAT and other recoverable taxes and levies","National currency","0.2499",""
"2015S1","Germany (until 1990 former territory of the FRG)","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","Excluding VAT and other recoverable taxes and levies","Euro","0.2480",""
"2015S1","Germany (until 1990 former territory of the FRG)","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","Excluding VAT and other recoverable taxes and levies","Purchasing Power Standard","0.2380",""
"2015S1","Germany (until 1990 former territory of the FRG)","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","Excluding VAT and other recoverable taxes and levies","National currency","0.2480",""
"2015S2","Germany (until 1990 former territory of the FRG)","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","Excluding VAT and other recoverable taxes and levies","Euro","0.2476",""
"2015S2","Germany (until 1990 former territory of the FRG)","Electrical energy","Band DC : 2 500 kWh < Consumption < 5 000 kWh","Kilowatt-hour","Excluding VAT and other recoverable taxes and levies","Purchasing Power Standard","0.2374",""
